-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
62,63,64,65,66,67,-2147483581,-2147483582,-2147483583,-2147483584,-2147483585,-2147483586,-2147483587,-2147483588,60,61,62,63,64,65,66,67,-2147483581,-2147483582,-2147483583,-2147483584,-2147483585,-2147483586,-2147483587,-2147483588,60,61,62,63,64,65,66,67,-2147483581,-2147483582,-2147483583,-2147483584,-2147483585,-2147483586,-2147483587,-2147483588,60,61,62,63,64,65,66,67,-2147483581,-2147483582,-2147483583,-2147483584,-2147483585,-2147483586,-2147483587,-2147483588,60,61,62,63,64,65,66,67,-2147483581,-2147483582,-2147483583,-2147483584,-2147483585,-2147483586,-2147483587,-2147483588,60,61,62,63,64,65,66,67
72,73,74,75,76,77,-2147483571,-2147483572,-2147483573,-2147483574,-2147483575,-2147483576,-2147483577,-2147483578,70,71,72,73,74,75,76,77,-2147483571,-2147483572,-2147483573,-2147483574,-2147483575,-2147483576,-2147483577,-2147483578,70,71,72,73,74,75,76,77,-2147483571,-2147483572,-2147483573,-2147483574,-2147483575,-2147483576,-2147483577,-2147483578,70,71,72,73,74,75,76,77,-2147483571,-2147483572,-2147483573,-2147483574,-2147483575,-2147483576,-2147483577,-2147483578,70,71,72,73,74,75,76,77,-2147483571,-2147483572,-2147483573,-2147483574,-2147483575,-2147483576,-2147483577,-2147483578,70,71,72,73,74,75,76,77
82,83,84,85,86,87,-2147483561,-2147483562,-2147483563,-2147483564,-2147483565,-2147483566,-2147483567,-2147483568,80,81,82,83,84,85,86,87,-2147483561,-2147483562,-2147483563,-2147483564,-2147483565,-2147483566,-2147483567,-2147483568,80,81,82,83,84,85,86,87,-2147483561,-2147483562,-2147483563,-2147483564,-2147483565,-2147483566,-2147483567,-2147483568,80,81,82,83,84,85,86,87,-2147483561,-2147483562,-2147483563,-2147483564,-2147483565,-2147483566,-2147483567,-2147483568,80,81,82,83,84,85,86,87,-2147483561,-2147483562,-2147483563,-2147483564,-2147483565,-2147483566,-2147483567,-2147483568,80,81,82,83,84,85,86,87
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
